river,run
Colorado,06. Hanging Lake Exit 125 (I-70) to Shoshone Power Plant Exi...
Colorado,"07. Shoshone Power Plant, Exit 123 (I-70) to Grizzly Creek, ..."
Colorado,08. Grizzly Creek to Two Rivers Park
Colorado,09. Two Rivers to South Canyon
Colorado,10. South Canyon to New Castle
Colorado,11. New Castle to Cameo
Colorado,12. Big Sur
Colorado,13. Grand Junction Town
Colorado,14. Loma launch to Westwater launch (Ruby - Horsethief)
Conejos,01. Platoro Res. to South Fork Conejos
Cross Creek,01. Cross Creek
"Crystal, North Fork",01. To Scree Slope
"Crystal, South Fork",01. Schofield Pass to Crystal
Crystal,01. Crystal Mill Falls to Crystal Gorge
Crystal,02. Road to Crystal to Beaver Lake
Crystal,03. Marble to Redstone
Crystal,04. Redstone to Penny Hot Springs
Crystal,05. Penny Hot Springs to Avalanche Creek
Crystal,06. Avalanche Creek to B.R.B. Campground
Daisy Creek,01. 40' Waterfall to confluence with Slate River
Dolores,01. Rico to McPhee Reservoir
Dolores,02. Bradfield Launch (McPhee Reservoir) to Dove Creek Pump S...
Dolores,03. Dove Creek Pump Station to Slickrock
Dolores,04. Slickrock to Bedrock
Dolores,05. Bedrock to Gateway
Dolores,06. Gateway to Colorado River (UT)
Eagle,01. Camp Hale to Red Cliff
Eagle,02. Redcliff to Tigiwan Rd (FR 707)
Eagle,03. Forest Service Visitor Center to Riverbend bus stop
Eagle,04. Riverbend bus stop to Edwards
Eagle,05. Edwards to Eagle
East,01. Gothic Bridge to above Stupid Falls
Elk River,01. Box Canyon 
Elk River,02. Box Canyon Campground to Glen Eden Bridge
Elk River,03. Two miles above Mad Creek to Mad Creek
Escalante Creek,01. Escalante Forks to Captain Smith's Cabin
Fish Creek,01. Fish Creek Falls to Diversion Dam
Fish Creek,02. Diversion Dam to Safeway
Fraser,01. Tabernash to Granby
Fryingpan,01. Upper
Fryingpan,02. Taylor Creek to Basalt
Gore Creek,01. Upper Gore Creek (Upstream of the golf course)
Gore Creek,02. East Vail Exit (I-70) to Eagle River
Grape Creek,01. Bear Gulch to Centennial Park
Green,01. Flaming Gorge to Lodore (CO)
Green,02. Lodore to Echo Park 
Green,03. Echo Park (CO) to Split Mountain (UT)
Grizzly Creek,01. 1 Mile up trail to Grizzly Creek Rest Area
Gunnison,04. Whitewater Park
"Gunnison, North Fork",01. Paonia Reservoir to below Somerset
Gunnison,01. Almont to Blue Mesa Reservoir
Gunnison,02. Crystal Dam to Chukar Trail 
Gunnison,03. Chukar to N. Fork
Gunnison,05. Delta to Whitewater
Henson Creek,01. Above Nellie Creek to 1/2 mile from Lake City
Hermosa Creek,"01. Hermosa Park 16 mi to Dutch Creek, 8 mi to US 550"
Homestake Creek,01. 1/4 mi above confluence with Eagle River
Jasper Creek,01. Class II to Boulder Creek
Joe Wright Creek,01.CR 103 bridge to Big South Campground
Kannah Creek,01. Kannah Creek TH to Girl Scout Camp Bridge
Kannah Creek,02. Rte. 50 to Rte. 141 (Gunnison River)
Lake Creek,01. MM 69 to Wills Gulch picnic area
Lake Fork Gunnison,01. Cinnamon Gorge
Lake Fork Gunnison,02. Lake City Town Run
Lake Fork Gunnison,03. BLM CG at Redbridge to Gateview CG
Left Hand Creek,01. James Canyon Drive to Buckingham Park
Lime Creek,01. 1st Gorge
Lime Creek,02. 2nd Gorge
"Mineral Creek, South",01. Above South Mineral CG
Navajo,01. Lower 25 mi to San Juan confluence
Needle Creek,01. Forest service Trail 504 Hike and Huck
North Platte,01. State line to French Creek (Lower Northgate Canyon)
North Poudre Canal,01. CR 80 to Park Creek Res.
Oh Be Joyful Creek,01. Ankle Breaker to Beaver Ponds
Piedra,01. Upper Piedra CG to 1st Fork Bridge
Piedra,02. 1st Fork Bridge to Lower Piedra CG
Piedra,03. Lower Piedra CG to Navajo Reservation
Piney,01. Piney Crossing to State Bridge
Plateau Creek,01. Hwy 65 to I-70
Purgatoire,01. US 350 to Highway 109
Rio Blanco,01. Highway 84 to San Juan River
Rio Grande,01. Rio Grande Res. to 12 miles above Creede
Rio Grande,02. Wagon Wheel Gap to South Fork
Roaring Fork/fryingpan,01. Seven Castles to Basalt 7-11
Roaring Fork,01. Weller Lake to Difficult CG
Roaring Fork,02. Slaughterhouse
Roaring Fork,03. Upper Woody Creek Bridge to Lower Woody Creek Bridge
Roaring Fork,04. Lower Woody Creek Bridge to Rte. 82 Bridge
Roaring Fork,05. Black Bridge to Veltus Park (Cemetery)
Rock Creek,01. Gore Pass to HWY 131
"Saint Vrain Creek, North",01. Peak to Peak Hwy to Buttonrock Preserve
"Saint Vrain Creek, North",02. Buttonrock Preserve to CR 80
"Saint Vrain Creek, North",03. CR 80 to Lyons
"Saint Vrain Creek, South",01. Ceran St. Vrain TH to Confluence
"Saint Vrain Creek, South",02. Confluence to 1 in 5 Rapid
"San Juan, East Fork",01. East Fork to 160 Bridge
"San Juan, West Fork",01. Footbridge to road near WF Campground
San Juan,01. Pagosa to Trujillo Rd
San Juan,02. Conoco Station to Courthouse
San Miguel,01. Conoco Station to Bilk Creek
San Miguel,02. Bilk Creek to Silverpick Rd.
San Miguel,03. Silverpick Rd to Specie Creek
San Miguel,04. Specie Creek to Norwood Bridge
San Miguel,05. Norwood Bridge to Green Truss Bridge
"Slate, North Fork",01. North Fork of Slate Drop
Slate,01. Beaver Ponds to Oh Be Joyful CG
Snake River,01. Keystone Lodge to Swan Mtn Rd
"South Platte, North Fork",01. Bailey to Pine
"South Platte, North Fork",02. Buffalo Creek to South Platte
South Platte,01. Eleven Mile Canyon
South Platte,02. Lake George to Cheesman Reservoir
South Platte,03. Cheeseman Reservoir to Deckers
South Platte,04. Deckers to Confluence with North Fork
South Platte,05. Waterton Canyon
South Platte,06. Near Union Avenue
South Platte,07. Confluence Park (of South Platte with Cherry Creek)
South Platte,08. Brighton City Park to Ft. Lupton
Sweetwater Creek,01. Pine Valley Ranch to Anderson Camp
Taylor River Canyon,01. Taylor Park Reservoir to Almont
Tenmile Creek,01. Near Copper Mountain Ski Area to Dillon Reservoir
Treasure Creek,01. Horsethief Park to Stunner CG
Uncompahgre River,01. Uncompahgre Gorge
Uncompahgre River,02. Ouray to KOA campground
Uncompahgre River,03. Rollins park to Ridgway Reservoir
Uncompahgre River,04. Billy Creek SWA to Trout Rd
Vallecito Creek,01. 1 mile above Vallecito CG
"White, North Fork",01. Mirror Lake to South Fork
"White, South Fork",01. National Forest CG to North Fork
White,02. Rangeley to Bonanza Bridge
Williams Fork,01. Horseshoe CG to Williams Fork Reservoir
Willow Creek,01. National Forest CG to Reservoir
Willow Creek,02. Steamboat Lake to Elk River
Wolf Creek,01. Downstream from Highway 160 Bridge
Woods Creek,01. Henderson Mine to West Fork Clear Creek
Yampa,01. Yampa River Park to Transit Center
Yampa,02. Transit Center to Pump Station
Yampa,04. Little Yampa Canyon
Yampa,05. 85 Rd to Deer Lodge Park Rd
Yampa,06. Deerlodge Park to Split Mountain CG
Yule Creek,01. Headwaters Run
Yule Creek,02. Bible Camp to Crystal River
